CustomerID,FirstName,LastName,Email,Phone,City,State,LastUpdated
1,Qarin,Biswas,oviya67@example.org,+919347671060,Ballia,Sikkim,2026-01-14 15:42:47
2,Wahab,Pillay,jainjasmit@example.net,+919892898020,Machilipatnam,West Bengal,2026-06-19 09:57:15
3,Gavin,Raval,balasubramaniannathan@example.com,+916326964594,Purnia,Himachal Pradesh,2026-01-11 20:42:11
4,Rajata,Majumdar,ijaya06@example.com,+919519287969,Dhule,Arunachal Pradesh,2026-05-27 01:58:27
5,Charita,Balasubramanian,pandeyhemani@example.org,+917149289937,Rajahmundry,Nagaland,2026-01-09 11:04:47
6,Varenya,Bhagat,wrattan@example.org,+918121237706,Rajahmundry,Haryana,2026-06-11 06:24:45
7,Nandini,Pall,gulatianita@example.net,+917684188314,Warangal,Meghalaya,2026-05-19 02:24:15
8,Tarak,Shetty,masonbhattacharyya@example.net,+919964205560,Bidhannagar,Andhra Pradesh,2026-02-09 06:29:52
9,Mitali,Peri,pallabaljiwan@example.com,+918637710396,Latur,Himachal Pradesh,2026-06-17 17:17:09
10,Farhan,Andra,naggarwal@example.net,+919802205695,Dhanbad,Tamil Nadu,2026-01-16 13:13:17
11,Watika,Ray,patlaaradhana@example.com,+919035946341,Meerut,Maharashtra,2026-04-30 02:31:32
12,Ekavir,Bedi,praneelprabhakar@example.org,+918843161887,Amaravati,Tripura,2026-02-08 00:36:49
13,Odika,Shukla,raaginitiwari@example.net,+917308487308,Bardhaman,Mizoram,2026-05-23 09:56:05
14,Chakradhar,Sastry,isaacchaudhary@example.com,+917910503490,Chittoor,Telangana,2026-06-12 16:18:30
15,Jagrati,Tella,shankrisha@example.com,9999,Tenali,Manipur,2026-05-05 14:32:22
16,Xavier,Tank,qarinmaster@example.com,+918611681881,Gorakhpur,Chhattisgarh,2026-04-19 11:08:57
17,Laban,Singhal,chackoaadhya@example.com,+919811984499,Amroha,Assam,2026-03-15 16:25:31
18,Krisha,Krishna,yauvanipai@example.net,+918605418760,Pallavaram,Odisha,2026-06-09 19:59:15
19,Zilmil,Maharaj,alexander64@example.org,+919682178937,Mirzapur,Tamil Nadu,2026-05-09 17:57:36
20,Tripti,Gara,sahniwahab@example.com,+916608575903,Howrah,Nagaland,2026-04-30 15:44:53
21,Bhavika,Oommen,zayyanbala@example.com,+917644097762,Khora ,Uttarakhand,2026-05-14 23:44:27
22,Eesha,Sekhon,chakrika41@example.org,+916605088083,Berhampur,Uttar Pradesh,2026-02-13 08:04:52
23,Zayyan,Kata,anthony59@example.net,+916319296223,Rourkela,Tamil Nadu,2026-04-24 05:19:01
